1, 3/11/13,5042298,NEX'TDAY 28, , ,PA, , 0000.01-, 0000.01-
1, 3/11/13,5042226,77, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042347,146, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042303,66, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042207,7, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042364,113, ,L.I., , , 0000.01-,0
1, 3/11/13,5042202,46, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042136,TR'UCK #10 DAILY USAGE, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042314,415, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042143,CAPITAL ONE BANK, ,SECAUCUS,NJ,7094, 0000.01-,0
1, 3/11/13,5042323,121, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042333,131, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042197,41, ,LONG ISLAND,NY, , 0000.01-,0
1, 3/11/13,5042188,32, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042235,71, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042395,RT 24, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042288,LINE 'HAUL,LONG ISLAND TO ALBANY MON-FRI, , , , 0000.01-, 0000.01-
1, 3/11/13,5042227,78, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042222,72, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042179,53, ,LONG ISLAND,NY, , 0000.01-,0
1, 3/11/13,5042184,58, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042172,NORTH HAVEN FILE ROOM,57 A DODGE AVE,NORTH HAVEN,CT,6473, 0000.01-, 0000.01-
1, 3/11/13,5042242,CAPITAL ONE, ,MATTITUCK,NY,11952, 0000.01-, 0000.01-
1, 3/11/13,5042137,TRUCK RENTAL DAILY USAGE, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042217,63, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042145,AMERICAN EAGLE, ,Clifton,NJ, , 0000.01-, 0000.01-
1, 3/11/13,5042231,90, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042189,33, ,LONG ISLAND,NY, , 0000.01-,0
1, 3/11/13,5042213,15, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042146,TXX, ,ALBANY,NY,12230, 0000.01-, 0000.01-
1, 3/11/13,5042173,NORTH HAVEN FILE ROOM, ,North Haven,CT, , 0000.01-,0
1, 3/11/13,5042203,3, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042137,TRUCK RENTAL DAILY USAGE, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5041023,LA'NDAUER METROPOLITAN INC,1 BRADFORD RD,MOUNT VERNON,NY,10553, 0000.01-, 0000.01-
1, 3/11/13,5042146,TXX, ,ALBANY,NY,12230, 0000.01-, 0000.01-
1, 3/11/13,5042174,NORTH HAVEN FILE ROOM, ,North Haven,CT, , 0000.01-,0
1, 3/11/13,5042297,FUJI  17, , , , , 0000.01-,0
1, 3/11/13,5042881,652, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042888,AMITYVILLE POST OFFICE,77 I'RELAND  PLACE,AMITYVILLE,NY,11701, 0000.01-, 0000.01-
1, 3/11/13,5042803,NASSAU 4, ,PLAINVIEW,NY,11803, 0000.01-, 0000.01-
1, 3/11/13,5042225,76, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042796,BRONX 2, ,Bronx,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042386,TRUCK #7 DAILY USAGE, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042691,FUJI 017, , , , , 0000.01-,0
1, 3/11/13,5042341,139, , , , , 0000.01-,0
1, 3/11/13,5042643,RITE AID 10621,444 HILLSIDE AVENUE,WILLISTON PARK,NY,11596, 0000.01-, 0000.01-
1, 3/11/13,5042346,145, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042634,RITE AID 10614,1910 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554, 0000.01-, 0000.01-
1, 3/11/13,5044047,CUSTOMER RETURNS HD,1 FAIRCHILD COURT,PLAINVIEW,NY,11803,0,0
1, 3/11/13,5042170,402, , , , , 0000.01-, 0000.01-
